Number of segments;Max;Median;Min
1;0,19;0,0;0,0
2;1,0087;0,0;0,0
3;1,0087;0,0;0,0
4;1,0105;0,0;0,0
5;1,5131;0,9997999999999999;0,0
6;1,5131;1,0001;0,0
7;1,5131;1,0002;0,0
8;1,5131;1,0002;0,0
9;2,004;1,0002;0,0
10;2,004;1,0003;0,9853999999999999
11;2,0197;1,0004;0,9853999999999999
12;2,0199;1,00075;0,9853999999999999
13;2,0199;1,9996999999999998;0,9853999999999999
14;2,0199;2,00025;0,994
15;2,0202;2,00035;0,994
16;2,9958;2,0004;0,994
17;3,0006999999999997;2,0004999999999997;0,9996999999999999
18;3,0181;2,0004999999999997;0,9996999999999999
19;3,0181;2,0006;0,9996999999999999
20;3,0181;2,00115;0,9996999999999999
21;3,0181;2,99525;1,9909
22;3,0181;3,0004999999999997;1,9909
23;4,0011;3,0006;1,9935999999999998
24;4,0012;3,0006;1,9935999999999998
25;4,0045;3,00065;1,9935999999999998
26;4,0045;3,0006999999999997;2,0
27;4,0127999999999995;3,0008;2,0
28;4,0178;3,0012;2,0
29;4,0178;4,00035;2,9926
30;5,0011;4,0007;2,9926
31;5,0011;4,0008;2,9926
32;5,0015;4,0008;2,9926
33;5,0046;4,00085;2,9938
34;5,0131;4,0009;3,0000999999999998
35;5,0202;4,0011;3,0000999999999998
36;5,0202;4,011;3,0000999999999998
37;6,0013;5,0007;3,9939999999999998
38;6,0015;5,0009999999999994;3,9939999999999998
39;6,001799999999999;5,0011;3,9939999999999998
40;6,001799999999999;5,0011;3,9939999999999998
41;6,3632;5,0012;4,0003
42;6,3632;5,0013;4,0003
43;6,3632;5,00305;4,0003
44;15,003599999999999;5,9894;4,0003
45;15,003599999999999;6,0012;4,0005999999999995
46;15,003599999999999;6,0013;4,0005999999999995
47;15,003599999999999;6,0013;4,9942
48;15,003599999999999;6,001449999999999;5,0005
49;15,003599999999999;6,00155;5,0005
50;16,0037;6,0062999999999995;5,0007
51;16,0037;6,9895499999999995;5,0007
52;16,0037;7,0009999999999994;5,0007
53;16,0037;7,0015;5,0007
54;16,0037;7,0016;5,0007
55;16,0037;7,0017;5,0007
56;17,003999999999998;7,00205;5,992
57;17,003999999999998;7,00915;6,0008
58;17,003999999999998;7,0134;6,0009
59;17,003999999999998;8,001199999999999;6,0009
60;17,003999999999998;8,00165;6,0009
61;17,003999999999998;8,0017;6,0009
62;17,003999999999998;8,0018;6,0009
63;17,003999999999998;8,0019;6,0009
64;18,004099999999998;8,004;6,0009
65;18,004099999999998;8,01275;7,0011
66;18,004099999999998;8,259599999999999;7,0011
67;18,004099999999998;9,00145;7,0011
68;18,004099999999998;9,0019;7,0011
69;18,004099999999998;9,001999999999999;7,0011
70;18,004099999999998;9,00215;7,0011
71;19,0038;9,0057;7,0011
72;19,0038;9,0129;7,0011
73;19,0038;9,01705;8,0016
74;19,0038;10,00185;8,0016
75;19,0038;10,0021;8,0016
76;19,0038;10,0022;8,0016
77;19,0038;10,0025;8,0016
78;20,0046;10,01305;8,0016
79;20,0046;10,013449999999999;8,0016
80;20,0046;10,0145;9,0015
81;20,0046;11,001999999999999;9,0015
82;20,0046;11,0023;9,0015
83;20,0046;11,0025;9,0015
84;20,0046;11,002749999999999;9,0015
85;21,0049;11,01015;9,0015
86;21,0049;11,01375;10,0017
87;21,0049;11,014249999999999;10,0017
88;21,0049;11,991449999999999;10,0017
89;21,0049;12,0023;10,0017
90;21,0049;12,0026;10,0197
91;21,0049;12,002699999999999;10,9947
92;21,0049;12,00715;10,9947
93;22,0052;12,01385;10,9947
94;22,0052;12,01435;10,9947
95;22,0052;12,9957;11,002099999999999
96;22,0052;13,00255;11,002099999999999
97;22,0052;13,002799999999999;11,002099999999999
98;22,0052;13,0033;11,993699999999999
99;22,0052;13,00645;11,993699999999999
100;22,0052;13,0093;11,9938
101;23,0052;13,014199999999999;11,9938
102;23,0052;13,021849999999999;12,0018
103;23,0052;14,0026;12,0023
104;23,0052;14,00305;12,0023
105;23,0052;14,00325;12,0023
106;23,0052;14,007449999999999;12,0023
107;23,0052;14,0078;12,002699999999999
108;23,0052;14,01375;12,9942
109;24,005599999999998;14,02075;12,9942
110;24,005599999999998;15,002749999999999;12,9942
111;24,005599999999998;15,00335;12,9942
112;24,005599999999998;15,00525;12,9942
113;24,005599999999998;15,0069;12,9942
114;24,005599999999998;15,00765;12,9942
115;24,005599999999998;15,013399999999999;12,9942
116;25,005799999999997;15,01525;12,9942
117;25,005799999999997;16,003249999999998;13,9993
118;25,005799999999997;16,0035;13,9993
119;25,005799999999997;16,00375;13,9993
120;25,005799999999997;16,007749999999998;13,9993
121;25,005799999999997;16,01105;13,9993
122;25,005799999999997;16,01485;13,9993
123;25,005799999999997;16,01515;14,003
124;25,005799999999997;16,26635;15,0009
125;26,0059;17,0033;15,0009
126;26,0059;17,003899999999998;15,0009
127;26,0059;17,00445;15,0009
128;26,0059;17,012;15,0009
129;26,0059;17,01495;15,0009
130;26,0059;17,0155;15,0033
131;26,0059;17,0295;16,0005
132;27,0063;18,00115;16,0005
133;27,0063;18,00375;16,0005
134;27,0063;18,00415;16,0005
135;27,0063;18,0097;16,0005
136;28,0062;18,0154;16,0031
137;28,0062;18,01575;16,8887
138;28,0062;18,0263;16,8887
139;28,0062;18,08625;17,0004
140;28,0062;19,00415;17,0004
141;28,0062;19,0042;17,0033
142;28,0062;19,00425;17,0033
143;28,0062;19,015449999999998;17,0033
144;29,0066;19,0263;17,0033
145;29,0066;19,02785;17,0043
146;29,0066;20,00405;17,8891
147;29,0066;20,0042;17,8891
148;29,0066;20,00445;18,0034
149;29,0066;20,00565;18,0034
150;29,0066;20,02655;18,0034
151;29,0066;20,0271;18,0035
152;29,0066;20,035149999999998;18,0035
153;30,0067;21,004199999999997;18,508599999999998
154;30,0398;21,0046;18,9061
155;30,0398;21,0047;19,0037
156;31,04;21,013199999999998;19,0037
157;31,04;21,02735;19,0037
158;31,04;21,0282;19,0042
159;31,04;21,96255;19,0042
160;31,04;22,004749999999998;19,0042
161;32,040099999999995;22,005;19,900299999999998
162;32,040099999999995;22,0052;20,003899999999998
163;32,040099999999995;22,016849999999998;20,003899999999998
164;32,040099999999995;22,027849999999997;20,003899999999998
165;32,040099999999995;22,08205;20,003999999999998
166;33,0404;23,0048;20,003999999999998
167;33,0404;23,0051;20,003999999999998
168;33,0404;23,0052;20,5091
169;33,0404;23,01045;20,5091
170;33,0404;23,02115;21,004099999999998
171;34,0408;23,029149999999998;21,004099999999998
172;34,0408;24,002699999999997;21,004099999999998
173;34,0408;24,00505;21,0047
174;34,0408;24,00545;21,0047
175;34,0408;24,005499999999998;21,510199999999998
176;35,0409;24,0091;22,0043
177;35,0409;24,02435;22,0043
178;35,0409;24,02815;22,0043
179;35,0409;25,0053;22,0043
180;35,0409;25,005599999999998;22,0049
181;35,0409;25,00575;22,0049
182;36,041199999999996;25,0062;22,0049
183;36,041199999999996;25,01945;22,0049
184;36,041199999999996;25,033199999999997;22,0049
185;36,041199999999996;25,0442;23,0045
